index,bacteria,chemical,concentration,model,t_min,t_max,t_range,y_min,y_max_data,y_mean,y_std,y_range,y_mean_adjusted,y_std_adjusted,auc_per_hour,y0,ymax,mu_max,h0,t_lag,r_squared,delta_y_max,delta_nu_max,delta_t_lag,delta_auc_per_hour,delta_sum,delta_y_max_norm,delta_nu_max_norm,delta_t_lag_norm,delta_auc_per_hour_norm,delta_sum_norm
494,Acidaminococcus intestini sp. D21,DEA NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.165,0.471,0.35609,0.08791,0.306,0.19109,0.08791,0.35655,0.17055,0.39661,1.41843,11.97764,8.44427,0.8762,-0.06700000000000006,-0.16930999999999985,0.06158999999999892,-0.03671000000000002,-0.211430000000001,0.07175403456980409,-0.2763856396276469,0.7612434131323054,0.3234939596501391,0.8801057677246016
495,Acidaminococcus intestini sp. D21,DEA NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.16433,0.48333,0.35563,0.10227,0.319,0.1913,0.10227,0.35606,0.16803,0.41143,1.27916,13.86731,10.84099,0.90892,-0.05467000000000005,-0.30857999999999985,2.458309999999999,-0.03720000000000001,2.0578599999999994,0.13971029888186212,-0.6388693711138472,0.2026575732293257,0.3187266089831189,0.022225109980459512
496,Acidaminococcus intestini sp. D21,DEA NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.16167,0.17167,0.1642,0.00246,0.01,0.00253,0.00246,0.16419,0.1719,0.16264,0.0,0.78896,48.0,0.96184,-0.36633000000000004,-1.58774,39.61732,-0.22907,37.43418,-0.7239011176047292,-2.96743036172941,-1.4496822521911643,-0.5119573884347773,-5.652971119960081
497,Acidaminococcus intestini sp. D21,DEA NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.161,0.16867,0.16379,0.0024,0.00767,0.00279,0.0024,0.16379,0.16829,0.16168,0.0,2.96872,48.0,0.96778,-0.36933000000000005,-1.58774,39.61732,-0.22947,37.43078,-0.7283050421548831,-2.96743036172941,-1.4496822521911643,-0.5172910690934083,-5.662708725168866
499,Acidaminococcus intestini sp. D21,DETA NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.16633,0.493,0.36424,0.09158,0.32667,0.19791,0.09158,0.36474,0.17273,0.40447,1.59709,13.06235,8.17884,0.83555,-0.04500000000000004,0.00934999999999997,-0.20384000000000135,-0.02851999999999999,-0.2680100000000014,0.21877306861158316,0.698429055628976,0.9612870655343232,0.4632351364343466,2.341724326209229
500,Acidaminococcus intestini sp. D21,DETA NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.16567,0.50567,0.37396,0.09627,0.34,0.20829,0.09627,0.37448,0.17132,0.41754,1.39476,11.61376,8.32672,0.85551,-0.03233000000000008,-0.19297999999999993,-0.055960000000000676,-0.01878000000000002,-0.3000500000000007,0.3254401653080068,-0.35687808725840703,0.8875570571091763,0.5699059894261975,1.4260251245849735
501,Acidaminococcus intestini sp. D21,DETA NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.165,0.502,0.36927,0.09999,0.337,0.20427,0.09999,0.36966,0.17099,0.41938,1.21159,11.51757,9.50613,0.88802,-0.03600000000000003,-0.37615,1.12345,-0.02360000000000001,0.6877,0.2939857808389507,-0.7806834691632679,0.40328614155912706,0.503436185150113,0.4200246383849229
502,Acidaminococcus intestini sp. D21,DETA NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.165,0.17567,0.17349,0.00199,0.01067,0.00849,0.00199,0.17351,0.16458,0.17436,0.2625,0.15809,0.60225,0.93277,-0.36233000000000004,-1.32524,-7.780430000000001,-0.21975,-9.68775,-0.7120817566636571,-2.3263546891729012,1.589908317981344,-0.4752137400618242,-1.9237418679170384
503,Acidaminococcus intestini sp. D21,Spermine NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.16667,0.46767,0.35246,0.08628,0.301,0.18579,0.08628,0.35293,0.1725,0.39194,1.48659,12.60948,8.48215,0.86428,-0.07033000000000006,-0.10114999999999985,0.09947000000000017,-0.04032999999999998,-0.11233999999999972,0.0540048176707161,0.02073580803100596,0.7469645641328246,0.28448070460629693,1.1061858944408436
504,Acidaminococcus intestini sp. D21,Spermine NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.16,0.39967,0.24349,0.09798,0.23967,0.08349,0.09798,0.2434,0.16343,0.37723,0.77519,23.2105,29.94176,0.98999,-0.13833,-0.8125499999999999,21.559079999999998,-0.14986,20.458339999999996,-0.2861349357549168,-1.6083683659358359,-0.643790728681728,-0.28633674560564654,-2.824630775978127
